ride_id,city,hour,day_of_week,weather,special_event,distance_km,base_fare,surge_multiplier,final_fare,ride_completed,wait_time_mins,customer_segment
IND_0042,Chennai,12,5,Clear,Eid,8.6,15.31,1.8,27.56,True,12,Budget
IND_0043,Bangalore,21,1,Heavy_Rain,Regular,17.3,22.39,1.7999999999999998,40.3,True,19,Regular
IND_0044,Hyderabad,6,2,Clear,Diwali,7.6,16.08,1.8,28.94,True,15,Regular
IND_0045,Pune,15,4,Light_Rain,Holi,17.1,9.11,2.16,19.68,True,11,Regular
IND_0046,Ahmedabad,1,5,Light_Rain,Regular,4.8,8.73,2.4,20.95,True,19,Regular
IND_0047,Ahmedabad,19,7,Dusty,Regular,11.8,18.79,1.5,28.18,True,15,Budget
IND_0048,Chennai,7,7,Dusty,Eid,19.6,16.86,1.8,30.35,False,9,Budget
IND_0049,Kolkata,17,1,Light_Rain,Holi,7.3,17.41,2.16,37.61,False,13,Regular
IND_0050,Pune,1,2,Hot,Regular,22.8,20.1,2.5,50.25,False,18,Regular
IND_0051,Ahmedabad,0,3,Heavy_Rain,Regular,11.0,18.59,3.0,55.77,True,24,Regular
IND_0052,Hyderabad,15,2,Heavy_Rain,Regular,13.2,14.61,1.6500000000000001,24.11,True,19,Premium
IND_0053,Mumbai,12,5,Humid,Regular,2.6,34.28,1.0,34.28,True,6,Budget
IND_0054,Kolkata,6,4,Heavy_Rain,Eid,19.5,12.69,2.97,37.69,True,19,Budget
IND_0055,Kolkata,7,6,Clear,Regular,24.0,7.6,1.0,7.6,True,7,Budget
IND_0056,Bangalore,7,2,Hot,Regular,4.6,28.96,1.1,31.86,True,12,Budget
IND_0057,Delhi,5,3,Clear,Regular,2.6,19.18,1.1,21.1,True,11,Budget
IND_0058,Hyderabad,3,6,Heavy_Rain,Regular,17.7,21.69,1.5,32.54,True,15,Budget
IND_0059,Kolkata,0,7,Hot,Regular,13.3,13.5,2.0,27.0,True,16,Regular
IND_0060,Pune,5,6,Humid,Regular,8.2,24.36,1.1,26.8,True,12,Regular
IND_0061,Kolkata,7,7,Clear,Eid,22.3,10.66,1.9800000000000002,21.11,True,14,Budget
IND_0062,Kolkata,5,4,Light_Rain,Eid,20.4,12.11,2.16,26.16,False,14,Budget
IND_0063,Pune,15,5,Light_Rain,Regular,13.0,22.53,1.32,29.74,True,7,Budget
IND_0064,Hyderabad,9,6,Humid,Eid,12.9,17.03,2.16,36.78,True,16,Budget
IND_0065,Chennai,8,2,Clear,Regular,6.4,10.03,1.5,15.04,True,15,Budget
IND_0066,Ahmedabad,8,6,Humid,Regular,14.1,10.68,1.0,10.68,True,9,Budget
IND_0067,Chennai,0,6,Humid,Holi,8.3,24.56,3.5,85.96,False,23,Regular
IND_0068,Ahmedabad,3,7,Clear,Regular,8.5,13.22,1.0,13.22,True,5,Premium
IND_0069,Delhi,12,4,Clear,Regular,16.5,13.23,1.0,13.23,True,13,Budget
IND_0070,Hyderabad,3,5,Hot,Regular,15.7,18.51,1.1,20.36,True,9,Premium
IND_0071,Chennai,18,5,Clear,Regular,24.1,9.69,1.2,11.63,True,10,Budget
IND_0072,Hyderabad,5,5,Clear,Holi,2.1,15.66,1.9800000000000002,31.01,True,11,Regular
IND_0073,Ahmedabad,2,6,Light_Rain,Eid,20.1,15.13,2.16,32.68,True,14,Regular
IND_0074,Chennai,4,1,Clear,Holi,20.2,18.12,1.8,32.62,True,12,Budget
IND_0075,Chennai,16,5,Hot,Regular,3.9,8.68,1.1,9.55,True,10,Budget
IND_0076,Hyderabad,21,7,Humid,Regular,23.9,24.99,2.0,49.98,True,14,Regular
IND_0077,Bangalore,15,5,Dusty,Regular,23.1,13.63,1.1,14.99,True,9,Budget
IND_0078,Kolkata,13,3,Heavy_Rain,Regular,4.4,9.41,1.6500000000000001,15.53,True,15,Premium
IND_0079,Mumbai,14,1,Heavy_Rain,Eid,9.4,44.11,2.97,131.01,True,24,Budget
IND_0080,Ahmedabad,13,1,Light_Rain,Regular,10.3,16.83,1.32,22.22,True,8,Regular
IND_0081,Chennai,14,6,Hot,Diwali,2.7,18.71,2.3400000000000003,43.78,True,13,Budget
IND_0082,Hyderabad,3,4,Clear,Regular,21.1,16.47,1.0,16.47,True,7,Regular
IND_0083,Ahmedabad,7,4,Humid,Holi,10.8,18.98,1.8,34.16,True,10,Regular
IND_0084,Pune,10,7,Humid,Eid,20.9,14.37,2.16,31.04,True,14,Regular
IND_0085,Bangalore,14,5,Hot,Eid,9.6,25.26,2.5740000000000003,65.02,True,14,Budget
IND_0086,Pune,7,7,Hot,Diwali,9.3,17.99,1.9800000000000002,35.62,True,14,Regular
IND_0087,Bangalore,15,1,Light_Rain,Regular,24.2,16.64,1.2,19.97,True,9,Regular
IND_0088,Ahmedabad,0,6,Light_Rain,Regular,22.0,19.61,1.7999999999999998,35.3,True,16,Budget
IND_0089,Delhi,10,7,Dusty,Regular,14.3,33.95,1.5,50.93,True,13,Premium
IND_0090,Delhi,7,6,Dusty,Eid,24.9,29.18,1.9800000000000002,57.78,True,15,Regular
IND_0091,Delhi,14,2,Dusty,Eid,22.8,13.06,1.8,23.51,True,11,Budget
IND_0092,Bangalore,5,2,Clear,Regular,22.0,22.39,1.0,22.39,True,10,Budget
IND_0093,Chennai,14,3,Dusty,Diwali,22.7,15.91,1.8,28.64,True,9,Budget
IND_0094,Chennai,20,4,Dusty,Eid,12.5,13.14,2.7,35.48,True,15,Budget
IND_0095,Chennai,22,3,Clear,Regular,17.1,12.67,2.5,31.68,True,17,Premium
IND_0096,Ahmedabad,9,7,Light_Rain,Regular,20.4,9.85,1.2,11.82,True,13,Regular
IND_0097,Bangalore,20,1,Dusty,Regular,2.9,25.77,1.2,30.92,True,14,Budget
IND_0098,Chennai,10,6,Hot,Holi,6.6,21.37,2.16,46.16,True,17,Regular
IND_0099,Chennai,15,7,Heavy_Rain,Regular,22.0,21.67,1.6500000000000001,35.76,True,14,Premium
IND_0100,Pune,17,3,Clear,Regular,11.1,14.02,1.0,14.02,True,10,Regular
IND_0101,Pune,20,3,Clear,Regular,7.4,9.48,2.0,18.96,True,16,Regular
IND_0102,Ahmedabad,22,3,Dusty,Regular,4.7,7.59,1.5,11.38,True,11,Budget
IND_0103,Bangalore,12,4,Heavy_Rain,Regular,23.8,23.93,1.6500000000000001,39.48,True,18,Premium
IND_0104,Ahmedabad,19,4,Heavy_Rain,Diwali,17.9,9.82,3.5,34.37,True,29,Budget
IND_0105,Kolkata,1,4,Heavy_Rain,Holi,24.3,21.24,3.5,74.34,False,22,Regular
IND_0106,Mumbai,1,7,Heavy_Rain,Holi,24.7,38.61,3.5,135.13,False,26,Budget
IND_0107,Hyderabad,10,7,Light_Rain,Regular,22.7,8.05,1.2,9.66,True,10,Regular
IND_0108,Delhi,21,7,Clear,Holi,2.3,30.17,2.16,65.17,False,10,Budget
IND_0109,Pune,16,1,Dusty,Diwali,13.0,23.78,1.8,42.8,True,10,Regular
IND_0110,Chennai,14,6,Clear,Diwali,25.0,22.4,1.9800000000000002,44.35,True,13,Premium
IND_0111,Delhi,10,5,Light_Rain,Diwali,4.9,26.36,3.2399999999999998,85.41,True,17,Premium
IND_0112,Ahmedabad,16,5,Hot,Diwali,20.2,8.49,1.8,15.28,True,15,Budget
IND_0113,Pune,13,6,Clear,Eid,11.8,21.64,1.8,38.95,False,14,Budget
IND_0114,Delhi,2,4,Clear,Regular,19.0,30.67,1.0,30.67,True,9,Budget
IND_0115,Delhi,13,3,Dusty,Regular,11.7,33.06,1.0,33.06,True,10,Budget
IND_0116,Hyderabad,4,6,Hot,Holi,21.5,13.95,1.8,25.11,True,10,Budget
IND_0117,Mumbai,19,6,Dusty,Eid,2.7,23.2,2.7,62.64,False,17,Budget
IND_0118,Pune,2,2,Dusty,Regular,24.4,10.74,1.0,10.74,True,9,Budget
IND_0119,Chennai,23,3,Humid,Regular,4.0,8.89,1.5,13.34,True,7,Budget
IND_0120,Ahmedabad,21,4,Hot,Regular,12.2,10.55,2.0,21.1,False,12,Budget
IND_0121,Ahmedabad,16,6,Heavy_Rain,Diwali,7.1,19.8,2.7,53.46,False,19,Budget
IND_0122,Chennai,9,3,Clear,Diwali,13.4,15.32,1.8,27.58,True,16,Regular
IND_0123,Kolkata,2,4,Dusty,Diwali,12.0,13.9,1.8,25.02,True,13,Regular
IND_0124,Pune,9,1,Hot,Diwali,24.2,12.27,2.7,33.13,True,19,Budget
IND_0125,Delhi,7,4,Humid,Regular,14.1,21.1,1.0,21.1,True,7,Regular
IND_0126,Delhi,16,6,Clear,Regular,13.7,32.84,1.0,32.84,True,13,Regular
IND_0127,Bangalore,7,1,Light_Rain,Eid,6.5,22.05,2.16,47.63,False,16,Budget
IND_0128,Ahmedabad,21,5,Dusty,Regular,24.7,11.2,2.0,22.4,True,13,Budget
IND_0129,Chennai,18,1,Heavy_Rain,Regular,3.7,15.85,1.7999999999999998,28.53,False,22,Budget
IND_0130,Delhi,19,5,Humid,Regular,12.6,24.75,2.0,49.5,True,15,Regular
IND_0131,Hyderabad,10,5,Hot,Regular,5.5,9.05,1.0,9.05,True,12,Premium
IND_0132,Bangalore,1,2,Dusty,Regular,24.8,20.48,2.5,51.2,False,14,Budget
IND_0133,Kolkata,21,5,Clear,Regular,16.5,12.02,1.5,18.03,False,12,Budget
IND_0134,Bangalore,10,1,Humid,Regular,5.3,17.0,1.5,25.5,True,10,Regular
IND_0135,Delhi,9,5,Hot,Regular,20.2,30.7,1.5,46.05,True,17,Premium
IND_0136,Delhi,20,6,Hot,Regular,10.3,20.34,1.2,24.41,True,11,Regular
IND_0137,Hyderabad,7,2,Light_Rain,Diwali,8.8,21.4,2.16,46.22,True,17,Regular
IND_0138,Pune,4,2,Light_Rain,Regular,17.9,20.87,1.2,25.04,True,6,Budget
IND_0139,Hyderabad,14,5,Heavy_Rain,Regular,19.2,15.63,1.5,23.45,True,18,Budget
IND_0140,Hyderabad,11,6,Humid,Regular,12.6,12.79,1.1,14.07,True,9,Budget
IND_0141,Hyderabad,19,2,Heavy_Rain,Diwali,16.7,22.86,3.5,80.01,True,28,Regular
IND_0142,Delhi,9,1,Light_Rain,Eid,12.3,23.81,2.592,61.72,False,21,Regular
IND_0143,Kolkata,0,4,Clear,Regular,13.5,10.54,1.5,15.81,True,7,Premium
IND_0144,Kolkata,4,2,Clear,Eid,23.1,14.09,1.8,25.36,True,12,Regular
IND_0145,Delhi,0,3,Light_Rain,Regular,5.4,33.63,3.0,100.89,False,14,Budget
IND_0146,Mumbai,7,4,Dusty,Regular,16.3,16.88,1.1,18.57,True,6,Regular
IND_0147,Hyderabad,22,2,Heavy_Rain,Regular,2.0,14.0,3.5,49.0,False,25,Budget
IND_0148,Delhi,16,5,Humid,Regular,24.7,24.75,1.1,27.23,True,6,Budget
IND_0149,Kolkata,8,6,Clear,Eid,20.1,12.17,2.7,32.86,True,15,Regular
IND_0150,Kolkata,4,1,Heavy_Rain,Regular,9.8,16.64,1.6500000000000001,27.46,False,16,Budget
IND_0151,Ahmedabad,1,3,Light_Rain,Diwali,20.2,18.52,3.5,64.82,True,19,Premium
IND_0152,Chennai,1,7,Dusty,Holi,8.6,22.66,2.7,61.18,True,14,Budget
IND_0153,Pune,23,4,Hot,Eid,24.4,18.43,3.5,64.5,False,21,Budget
IND_0154,Pune,2,4,Humid,Regular,6.2,14.58,1.0,14.58,True,10,Budget
IND_0155,Pune,5,6,Hot,Eid,12.3,22.81,1.8,41.06,True,12,Regular
IND_0156,Mumbai,2,6,Dusty,Regular,10.4,39.03,1.0,39.03,True,6,Regular
IND_0157,Ahmedabad,1,2,Clear,Holi,19.9,11.76,3.5,41.16,True,15,Budget
IND_0158,Kolkata,11,4,Clear,Regular,5.2,12.5,1.0,12.5,True,7,Budget
IND_0159,Bangalore,15,5,Hot,Regular,4.7,25.5,1.4300000000000002,36.47,True,12,Regular
IND_0160,Ahmedabad,6,1,Light_Rain,Regular,3.7,9.24,1.32,12.2,True,13,Premium
IND_0161,Kolkata,22,1,Humid,Regular,8.7,11.5,1.5,17.25,True,14,Regular
IND_0162,Kolkata,16,2,Clear,Holi,20.2,10.55,1.9800000000000002,20.89,False,13,Budget
IND_0163,Bangalore,19,1,Clear,Eid,11.2,24.34,2.7,65.72,True,20,Regular
IND_0164,Delhi,4,3,Dusty,Diwali,12.3,27.64,1.8,49.75,True,15,Regular
IND_0165,Bangalore,4,4,Humid,Regular,3.3,12.48,1.0,12.48,True,6,Premium
IND_0166,Chennai,2,3,Light_Rain,Regular,24.0,12.67,1.2,15.2,True,7,Regular
IND_0167,Bangalore,5,6,Humid,Regular,22.7,16.75,1.0,16.75,True,5,Budget
IND_0168,Chennai,20,2,Humid,Regular,16.2,8.51,2.0,17.02,False,16,Budget
IND_0169,Pune,9,4,Clear,Regular,3.4,17.35,1.2,20.82,True,11,Budget
IND_0170,Kolkata,23,7,Heavy_Rain,Regular,5.0,12.56,3.5,43.96,False,22,Budget
IND_0171,Bangalore,3,1,Heavy_Rain,Regular,21.9,18.36,1.5,27.54,True,19,Regular
IND_0172,Hyderabad,5,4,Humid,Regular,13.5,13.25,1.0,13.25,True,8,Budget
IND_0173,Hyderabad,6,5,Heavy_Rain,Diwali,3.2,16.41,2.97,48.74,False,18,Budget
IND_0174,Chennai,23,3,Hot,Eid,3.0,8.87,3.5,31.04,False,19,Budget
IND_0175,Chennai,19,6,Humid,Diwali,5.0,9.64,2.7,26.03,True,17,Premium
IND_0176,Hyderabad,19,5,Hot,Regular,2.9,8.66,2.0,17.32,True,15,Budget
IND_0177,Bangalore,10,5,Heavy_Rain,Holi,11.0,22.33,3.2399999999999998,72.35,True,23,Regular
IND_0178,Ahmedabad,22,5,Heavy_Rain,Regular,20.8,11.79,3.5,41.27,False,23,Budget
IND_0179,Mumbai,19,4,Heavy_Rain,Regular,20.0,38.28,3.0,114.84,False,20,Budget
IND_0180,Pune,4,7,Dusty,Holi,2.7,27.02,1.8,48.64,True,12,Budget
IND_0181,Hyderabad,13,5,Humid,Regular,22.1,20.51,1.0,20.51,True,9,Regular
IND_0182,Ahmedabad,16,4,Heavy_Rain,Holi,12.6,13.93,2.7,37.61,True,24,Regular
IND_0183,Chennai,19,4,Light_Rain,Holi,8.4,13.07,3.2399999999999998,42.35,True,22,Regular
IND_0184,Ahmedabad,10,4,Heavy_Rain,Regular,23.5,17.34,1.7999999999999998,31.21,True,18,Regular
IND_0185,Pune,11,7,Light_Rain,Eid,3.0,27.15,2.16,58.64,True,13,Budget
IND_0186,Hyderabad,17,3,Humid,Regular,8.2,9.86,1.0,9.86,True,10,Regular
IND_0187,Hyderabad,1,1,Hot,Eid,18.5,9.71,2.7,26.22,False,16,Premium
IND_0188,Ahmedabad,15,6,Light_Rain,Regular,24.2,11.18,1.2,13.42,True,7,Regular
IND_0189,Mumbai,5,4,Light_Rain,Diwali,24.9,26.91,2.3760000000000003,63.94,True,16,Premium
IND_0190,Mumbai,0,3,Humid,Regular,4.5,44.49,2.0,88.98,True,14,Regular
IND_0191,Bangalore,16,4,Heavy_Rain,Holi,20.6,16.61,2.97,49.33,True,24,Budget
IND_0192,Chennai,18,6,Light_Rain,Holi,16.1,18.86,3.2399999999999998,61.11,True,20,Budget
IND_0193,Bangalore,4,4,Heavy_Rain,Holi,2.2,17.67,2.97,52.48,True,26,Budget
IND_0194,Mumbai,8,6,Heavy_Rain,Regular,7.4,35.03,1.7999999999999998,63.05,True,18,Regular
IND_0195,Chennai,22,1,Dusty,Eid,10.5,11.75,2.7,31.73,True,15,Premium
IND_0196,Ahmedabad,17,7,Dusty,Regular,7.0,10.22,1.0,10.22,True,9,Budget
IND_0197,Delhi,1,7,Humid,Regular,6.6,24.34,1.5,36.51,True,11,Budget
IND_0198,Hyderabad,22,5,Hot,Diwali,22.7,15.57,2.7,42.04,False,16,Budget
IND_0199,Ahmedabad,21,7,Heavy_Rain,Regular,2.5,10.31,1.7999999999999998,18.56,True,18,Budget
IND_0200,Delhi,17,1,Clear,Regular,2.7,21.4,1.0,21.4,True,13,Regular
IND_0201,Pune,11,4,Hot,Regular,23.1,16.17,1.0,16.17,True,10,Regular
IND_0202,Kolkata,3,2,Humid,Regular,14.2,17.92,1.0,17.92,True,11,Premium
IND_0203,Pune,17,4,Light_Rain,Holi,12.6,11.95,2.16,25.81,True,15,Budget
IND_0204,Pune,19,7,Clear,Holi,6.7,10.92,2.16,23.59,True,17,Premium
IND_0205,Mumbai,12,4,Light_Rain,Regular,7.0,40.91,1.2,49.09,True,14,Budget
IND_0206,Kolkata,18,5,Dusty,Regular,9.4,11.53,1.2,13.84,True,12,Budget
IND_0207,Chennai,1,5,Humid,Regular,23.0,18.64,2.0,37.28,True,9,Budget
IND_0208,Pune,16,3,Dusty,Regular,11.4,14.7,1.0,14.7,True,9,Regular
IND_0209,Chennai,22,2,Hot,Diwali,14.9,24.45,3.5,85.58,True,18,Budget
IND_0210,Delhi,14,7,Heavy_Rain,Diwali,14.3,31.08,2.7,83.92,True,22,Regular
IND_0211,Delhi,6,7,Humid,Regular,17.4,16.99,1.0,16.99,True,8,Premium
IND_0212,Hyderabad,23,1,Dusty,Regular,13.0,12.12,2.5,30.3,True,14,Budget
IND_0213,Chennai,12,4,Humid,Regular,10.3,12.45,1.1,13.7,True,12,Regular
IND_0214,Kolkata,6,3,Heavy_Rain,Regular,3.1,19.96,1.5,29.94,False,16,Regular
IND_0215,Pune,9,2,Light_Rain,Eid,7.3,19.83,2.16,42.83,True,17,Regular
IND_0216,Chennai,15,6,Dusty,Regular,13.3,10.86,1.0,10.86,True,11,Budget
IND_0217,Mumbai,16,1,Clear,Regular,17.4,37.93,1.1,41.72,True,10,Budget
IND_0218,Bangalore,0,2,Humid,Regular,10.6,22.36,2.5,55.9,True,18,Regular
IND_0219,Mumbai,0,5,Humid,Regular,2.3,30.88,2.0,61.76,True,11,Regular
IND_0220,Pune,5,1,Clear,Regular,5.4,12.65,1.0,12.65,True,7,Budget
IND_0221,Kolkata,12,4,Humid,Holi,24.8,10.39,1.8,18.7,True,15,Regular
IND_0222,Delhi,12,4,Hot,Regular,12.9,26.65,1.3,34.64,True,13,Regular
IND_0223,Kolkata,18,7,Clear,Regular,23.1,10.45,2.0,20.9,False,15,Budget
IND_0224,Chennai,17,5,Dusty,Diwali,6.1,22.46,1.8,40.43,True,13,Regular
IND_0225,Pune,2,3,Light_Rain,Regular,7.5,24.86,1.32,32.82,True,11,Budget
IND_0226,Bangalore,22,6,Clear,Regular,19.1,16.92,1.5,25.38,True,14,Budget
IND_0227,Pune,10,1,Dusty,Eid,20.0,17.56,1.8,31.61,True,16,Budget
IND_0228,Pune,2,7,Humid,Eid,20.4,22.55,1.8,40.59,True,11,Regular
IND_0229,Bangalore,23,4,Heavy_Rain,Eid,4.5,10.1,3.5,35.35,False,26,Budget
IND_0230,Pune,14,5,Humid,Regular,11.4,9.5,1.0,9.5,True,10,Regular
IND_0231,Pune,0,3,Hot,Regular,19.9,22.77,2.5,56.92,True,19,Regular
IND_0232,Bangalore,21,4,Light_Rain,Holi,8.2,15.37,2.592,39.84,False,15,Budget
IND_0233,Delhi,11,3,Light_Rain,Regular,16.4,25.66,1.2,30.79,True,7,Budget
IND_0234,Pune,10,7,Humid,Regular,20.5,15.26,1.2,18.31,True,12,Regular
IND_0235,Bangalore,9,3,Humid,Regular,6.6,16.28,1.2,19.54,True,10,Regular
IND_0236,Ahmedabad,18,7,Light_Rain,Eid,10.6,17.61,3.2399999999999998,57.06,True,23,Budget
IND_0237,Bangalore,21,7,Humid,Diwali,23.9,19.23,3.5,67.31,False,21,Regular
IND_0238,Delhi,13,6,Hot,Holi,16.6,17.57,2.3400000000000003,41.11,True,17,Budget
IND_0239,Ahmedabad,18,4,Humid,Regular,23.2,18.31,1.5,27.46,True,15,Budget
IND_0240,Delhi,3,7,Light_Rain,Regular,17.3,15.83,1.2,19.0,True,11,Regular
IND_0241,Kolkata,13,1,Clear,Diwali,8.0,14.66,1.8,26.39,True,11,Regular
IND_0242,Bangalore,11,1,Hot,Diwali,8.8,28.41,1.8,51.14,True,16,Budget
IND_0243,Ahmedabad,6,5,Hot,Eid,13.0,12.7,1.9800000000000002,25.15,True,11,Regular
IND_0244,Delhi,0,7,Heavy_Rain,Regular,4.5,30.4,3.5,106.4,False,21,Budget
IND_0245,Ahmedabad,7,7,Hot,Regular,6.2,15.33,1.1,16.86,True,11,Premium
IND_0246,Pune,12,1,Dusty,Holi,6.7,23.29,1.8,41.92,True,15,Regular
IND_0247,Kolkata,10,2,Hot,Diwali,8.0,19.94,2.7,53.84,True,14,Budget
IND_0248,Delhi,11,3,Hot,Regular,6.0,27.49,1.0,27.49,True,10,Regular
IND_0249,Kolkata,3,2,Heavy_Rain,Diwali,6.2,17.4,2.97,51.68,False,19,Budget
IND_0250,Bangalore,17,2,Hot,Eid,5.2,16.29,1.9800000000000002,32.25,True,16,Premium
IND_0251,Hyderabad,12,5,Humid,Regular,13.4,19.64,1.1,21.6,True,9,Budget
IND_0252,Mumbai,7,3,Clear,Eid,7.2,23.66,1.9800000000000002,46.85,True,15,Budget
IND_0253,Delhi,8,7,Humid,Regular,24.8,24.47,1.0,24.47,True,11,Budget
IND_0254,Pune,3,6,Dusty,Regular,7.7,25.62,1.0,25.62,True,8,Regular
IND_0255,Ahmedabad,3,7,Light_Rain,Holi,20.6,14.64,2.16,31.62,True,15,Budget
IND_0256,Hyderabad,6,7,Clear,Regular,10.1,12.78,1.0,12.78,True,11,Budget
IND_0257,Chennai,16,6,Clear,Holi,24.1,21.36,1.8,38.45,True,15,Budget
IND_0258,Hyderabad,4,6,Heavy_Rain,Regular,7.7,22.34,1.6500000000000001,36.86,True,17,Budget
IND_0259,Ahmedabad,2,6,Clear,Regular,13.9,10.62,1.0,10.62,True,9,Regular
IND_0260,Delhi,23,4,Dusty,Regular,18.0,31.55,2.5,78.88,False,19,Regular
IND_0261,Ahmedabad,8,3,Heavy_Rain,Eid,14.6,8.7,3.2399999999999998,28.19,True,28,Regular
IND_0262,Mumbai,3,6,Hot,Diwali,4.9,40.73,1.9800000000000002,80.65,True,17,Budget
IND_0263,Bangalore,20,3,Light_Rain,Regular,23.5,15.48,2.4,37.15,True,13,Regular
IND_0264,Bangalore,1,4,Dusty,Eid,18.7,25.1,3.5,87.85,True,21,Budget
IND_0265,Bangalore,18,2,Humid,Regular,12.2,10.16,1.5,15.24,True,17,Budget
IND_0266,Bangalore,15,1,Light_Rain,Regular,4.1,26.12,1.2,31.34,True,13,Budget
IND_0267,Bangalore,20,6,Light_Rain,Diwali,14.2,10.17,3.5,35.59,False,20,Budget
IND_0268,Pune,19,6,Hot,Regular,7.0,26.04,1.2,31.25,True,13,Budget
IND_0269,Pune,10,7,Light_Rain,Holi,8.4,10.6,3.2399999999999998,34.34,True,20,Budget
IND_0270,Mumbai,21,3,Light_Rain,Regular,16.0,20.66,1.7999999999999998,37.19,True,9,Premium
IND_0271,Ahmedabad,12,1,Light_Rain,Regular,16.7,7.92,1.2,9.5,True,13,Budget
IND_0272,Pune,11,5,Dusty,Holi,19.5,27.13,1.8,48.83,False,9,Budget
IND_0273,Mumbai,12,5,Heavy_Rain,Regular,18.4,38.01,1.6500000000000001,62.72,True,13,Regular
IND_0274,Bangalore,8,1,Heavy_Rain,Diwali,13.8,14.06,2.7,37.96,True,22,Regular
IND_0275,Delhi,9,6,Hot,Regular,23.9,17.49,1.0,17.49,True,10,Budget
IND_0276,Mumbai,9,6,Dusty,Regular,19.0,18.58,1.5,27.87,False,9,Budget
