ride_id,city,hour,day_of_week,weather,special_event,distance_km,base_fare,driver_supply,customer_segment,surge_multiplier,final_fare,ride_completed,wait_time_mins
IND_00085,Delhi,11,7,Heavy_Rain,Holi,4.7,24.97,32,Regular,1.85,217.11,1,19
IND_00086,Delhi,9,6,Light_Rain,Regular,1.6,29.89,37,Premium,1.31,62.65,1,14
IND_00087,Chennai,9,1,Dusty,Holi,4.9,17.79,40,Premium,2.59,225.77,1,21
IND_00088,Hyderabad,22,1,Dusty,Eid,3.2,9.73,29,Regular,1.83,56.98,1,18
IND_00089,Mumbai,23,4,Dusty,Eid,4.3,25.42,60,Budget,1.82,198.94,1,15
IND_00090,Mumbai,9,3,Dusty,Diwali,7.7,40.49,45,Budget,2.19,682.78,1,19
IND_00091,Ahmedabad,13,7,Dusty,Diwali,1.2,16.2,36,Regular,1.62,31.49,1,19
IND_00092,Ahmedabad,15,3,Dusty,Holi,2.1,13.04,12,Premium,2.42,66.27,1,24
IND_00093,Ahmedabad,11,6,Dusty,Eid,1.0,10.17,33,Regular,1.53,15.56,1,17
IND_00094,Ahmedabad,15,1,Clear,Regular,1.0,18.06,21,Budget,1.1,19.87,1,17
IND_00095,Kolkata,19,2,Dusty,Eid,2.0,11.19,19,Budget,1.69,37.82,0,19
IND_00096,Pune,19,2,Light_Rain,Regular,1.1,18.28,33,Regular,1.48,29.76,1,18
IND_00097,Ahmedabad,9,1,Heavy_Rain,Holi,5.8,17.31,41,Budget,2.14,214.85,0,18
IND_00098,Kolkata,18,4,Dusty,Holi,2.1,14.1,10,Premium,2.18,64.55,1,25
IND_00099,Ahmedabad,13,3,Dusty,Diwali,5.1,10.52,22,Budget,2.42,129.84,0,23
IND_00100,Bangalore,2,1,Dusty,Holi,3.1,13.83,91,Regular,1.57,67.31,1,9
IND_00101,Delhi,20,1,Hot,Regular,1.5,31.15,24,Budget,1.34,62.61,1,17
IND_00102,Bangalore,18,3,Heavy_Rain,Eid,5.8,15.49,10,Budget,2.5,224.6,1,27
IND_00103,Ahmedabad,17,6,Heavy_Rain,Eid,4.9,8.33,16,Budget,2.64,107.76,0,26
IND_00104,Bangalore,13,4,Dusty,Holi,1.8,29.31,18,Budget,1.65,87.05,0,19
IND_00105,Delhi,18,6,Heavy_Rain,Diwali,2.3,25.27,10,Budget,1.95,113.34,1,24
IND_00106,Delhi,23,7,Heavy_Rain,Eid,13.2,34.86,63,Regular,2.03,934.11,1,17
IND_00107,Hyderabad,18,1,Dusty,Holi,2.7,21.19,10,Premium,2.12,121.29,1,25
IND_00108,Pune,20,4,Heavy_Rain,Eid,3.9,14.8,22,Premium,1.63,94.08,1,18
IND_00109,Hyderabad,12,2,Dusty,Eid,2.9,18.63,28,Budget,2.06,111.3,0,20
IND_00110,Delhi,18,3,Dusty,Holi,4.9,15.6,10,Regular,2.02,154.41,1,25
IND_00111,Hyderabad,13,4,Hot,Regular,1.4,12.9,30,Regular,1.5,27.09,1,18
IND_00112,Hyderabad,19,3,Heavy_Rain,Holi,5.9,23.71,20,Budget,2.39,334.33,1,23
IND_00113,Chennai,7,1,Light_Rain,Regular,1.0,22.05,63,Budget,1.47,32.41,1,12
IND_00114,Chennai,7,6,Dusty,Eid,2.8,15.47,66,Budget,1.67,72.34,1,13
IND_00115,Ahmedabad,19,3,Heavy_Rain,Holi,4.1,12.69,32,Regular,2.09,108.74,1,21
IND_00116,Delhi,19,6,Heavy_Rain,Eid,1.0,17.27,31,Regular,1.56,26.94,0,19
IND_00117,Bangalore,23,5,Dusty,Holi,6.7,19.41,62,Budget,1.86,241.89,0,16
IND_00118,Ahmedabad,13,2,Dusty,Holi,1.4,19.6,26,Budget,2.1,57.62,1,21
IND_00119,Bangalore,16,1,Dusty,Holi,1.7,16.6,26,Regular,1.67,47.13,1,19
IND_00120,Mumbai,6,5,Dusty,Holi,3.9,28.64,82,Budget,1.91,213.34,1,12
IND_00121,Mumbai,21,4,Hot,Regular,1.0,34.73,26,Budget,1.47,51.05,1,17
IND_00122,Ahmedabad,18,4,Heavy_Rain,Diwali,1.4,15.13,10,Budget,1.96,41.52,1,24
IND_00123,Ahmedabad,13,3,Dusty,Diwali,1.1,18.45,36,Budget,2.43,49.32,1,23
IND_00124,Hyderabad,13,1,Dusty,Eid,1.3,20.07,29,Budget,1.72,44.88,0,19
IND_00125,Delhi,10,7,Heavy_Rain,Eid,2.8,22.61,45,Regular,1.75,110.79,1,17
IND_00126,Chennai,8,3,Dusty,Holi,9.2,16.65,53,Regular,2.0,306.36,1,17
IND_00127,Bangalore,16,5,Heavy_Rain,Diwali,1.0,17.67,27,Budget,3.5,61.85,0,28
IND_00128,Chennai,16,7,Dusty,Eid,3.0,21.95,32,Budget,2.22,146.19,1,22
IND_00129,Ahmedabad,7,4,Dusty,Eid,3.5,18.25,64,Budget,2.02,129.03,1,15
IND_00130,Pune,20,3,Dusty,Diwali,7.4,17.65,26,Premium,2.02,263.83,1,20
IND_00131,Hyderabad,11,2,Dusty,Diwali,3.8,22.55,36,Budget,3.2,274.21,1,26
IND_00132,Pune,21,4,Heavy_Rain,Holi,36.0,16.34,24,Premium,1.71,1005.89,1,18
IND_00133,Kolkata,11,6,Dusty,Diwali,1.0,20.05,35,Regular,1.71,34.29,0,18
IND_00134,Bangalore,15,4,Heavy_Rain,Diwali,1.6,18.2,18,Budget,1.86,54.16,0,21
IND_00135,Pune,12,5,Dusty,Eid,3.0,21.35,33,Premium,2.0,128.1,1,20
IND_00136,Ahmedabad,5,1,Heavy_Rain,Eid,24.4,18.34,100,Budget,1.69,756.27,1,9
IND_00137,Chennai,18,3,Heavy_Rain,Holi,17.9,24.96,10,Premium,1.75,781.87,1,23
IND_00138,Delhi,22,7,Dusty,Diwali,14.5,22.2,27,Budget,1.94,624.49,0,19
IND_00139,Kolkata,12,3,Heavy_Rain,Eid,1.3,13.46,26,Budget,1.72,30.1,0,18
IND_00140,Delhi,18,5,Dusty,Eid,5.3,26.02,10,Regular,1.86,256.51,1,24
IND_00141,Bangalore,18,3,Hot,Regular,1.0,14.64,10,Budget,1.42,20.79,1,22
IND_00142,Ahmedabad,9,3,Heavy_Rain,Diwali,3.3,18.72,45,Budget,2.08,128.49,1,18
IND_00143,Chennai,19,1,Dusty,Eid,1.5,18.86,22,Budget,1.63,46.11,0,19
IND_00144,Pune,20,2,Heavy_Rain,Diwali,2.8,25.21,30,Budget,2.07,146.12,1,20
IND_00145,Chennai,17,5,Dusty,Holi,15.6,8.37,10,Budget,2.2,287.26,1,24
IND_00146,Ahmedabad,11,6,Dusty,Diwali,4.1,17.83,32,Regular,2.19,160.1,1,21
IND_00147,Hyderabad,22,3,Heavy_Rain,Eid,9.6,18.56,46,Budget,2.18,388.42,1,20
IND_00148,Chennai,12,1,Heavy_Rain,Eid,1.4,21.41,25,Budget,2.08,62.35,0,20
IND_00149,Chennai,9,4,Dusty,Diwali,7.4,13.55,51,Budget,1.68,168.45,1,16
IND_00150,Kolkata,20,6,Dusty,Diwali,2.2,14.96,34,Budget,2.34,77.01,1,22
IND_00151,Chennai,10,7,Dusty,Diwali,1.9,20.69,32,Budget,1.59,62.5,0,16
IND_00152,Hyderabad,11,2,Dusty,Eid,3.6,22.62,33,Budget,2.19,178.34,0,21
IND_00153,Delhi,19,5,Dusty,Eid,7.0,22.46,33,Budget,2.12,333.31,1,22
IND_00154,Delhi,21,2,Dusty,Diwali,1.4,27.52,37,Regular,1.79,68.97,1,19
IND_00155,Hyderabad,10,3,Hot,Regular,1.1,19.01,39,Premium,1.48,30.95,1,16
IND_00156,Delhi,5,4,Light_Rain,Regular,1.8,15.21,96,Budget,1.38,37.78,1,8
IND_00157,Hyderabad,14,7,Heavy_Rain,Holi,4.1,23.08,32,Budget,2.6,246.03,0,24
IND_00158,Bangalore,23,3,Heavy_Rain,Holi,3.0,27.71,52,Regular,1.8,149.63,0,15
IND_00159,Kolkata,22,3,Dusty,Diwali,15.3,10.26,29,Premium,2.27,356.34,1,20
IND_00160,Kolkata,17,3,Dusty,Diwali,3.9,15.17,10,Budget,2.25,133.12,1,24
IND_00161,Ahmedabad,16,7,Heavy_Rain,Eid,1.0,8.19,14,Regular,1.65,13.51,1,19
IND_00162,Kolkata,14,7,Heavy_Rain,Eid,1.3,10.65,32,Budget,2.02,27.97,0,21
IND_00163,Hyderabad,18,2,Heavy_Rain,Holi,9.2,21.82,10,Regular,1.66,333.24,0,23
IND_00164,Bangalore,10,5,Dusty,Diwali,5.1,29.75,30,Budget,2.55,386.9,0,21
IND_00165,Kolkata,10,1,Heavy_Rain,Eid,2.3,18.85,35,Budget,1.97,85.41,0,18
IND_00166,Bangalore,15,3,Heavy_Rain,Eid,10.7,24.83,24,Budget,1.94,515.42,1,21
IND_00167,Delhi,12,1,Heavy_Rain,Eid,4.3,22.4,37,Budget,2.52,242.73,0,22
IND_00168,Mumbai,13,2,Dusty,Holi,20.9,16.82,19,Budget,2.11,741.75,0,21
IND_00169,Ahmedabad,18,3,Heavy_Rain,Holi,3.3,7.96,10,Regular,1.59,41.77,1,22
IND_00170,Kolkata,22,4,Dusty,Holi,1.6,12.71,39,Regular,1.72,34.98,1,18
IND_00171,Delhi,14,2,Light_Rain,Regular,1.0,31.61,22,Budget,1.36,42.99,1,17
IND_00172,Ahmedabad,15,4,Heavy_Rain,Holi,7.6,12.18,18,Budget,2.5,231.42,0,24
IND_00173,Bangalore,18,3,Dusty,Diwali,3.4,23.74,10,Budget,1.88,151.75,0,24
IND_00174,Delhi,22,2,Dusty,Diwali,4.2,29.13,44,Regular,1.73,211.66,1,18
IND_00175,Kolkata,10,3,Dusty,Holi,2.3,17.05,43,Premium,1.82,71.37,1,18
IND_00176,Mumbai,20,3,Hot,Regular,1.0,44.05,37,Budget,1.22,53.74,1,16
IND_00177,Bangalore,18,2,Heavy_Rain,Diwali,1.5,23.13,10,Budget,1.63,56.55,0,23
IND_00178,Chennai,13,3,Dusty,Eid,6.2,17.76,35,Premium,2.37,260.97,1,22
IND_00179,Mumbai,8,5,Dusty,Diwali,1.7,33.27,47,Budget,1.95,110.29,1,17
IND_00180,Kolkata,15,7,Heavy_Rain,Eid,2.4,7.09,12,Regular,2.02,34.37,1,22
IND_00181,Mumbai,5,3,Heavy_Rain,Holi,25.6,17.75,91,Budget,2.01,913.34,0,11
IND_00182,Chennai,23,6,Heavy_Rain,Diwali,5.6,20.27,63,Budget,2.12,240.65,0,17
IND_00183,Delhi,17,1,Dusty,Holi,3.1,18.26,14,Regular,2.39,135.29,1,25
IND_00184,Delhi,20,6,Heavy_Rain,Holi,2.8,19.94,37,Regular,1.75,97.71,1,19
IND_00185,Chennai,14,3,Dusty,Eid,1.2,8.77,21,Budget,1.92,20.21,0,20
IND_00186,Hyderabad,8,2,Dusty,Holi,3.4,21.04,38,Budget,1.96,140.21,0,17
IND_00187,Pune,7,3,Hot,Regular,1.5,12.34,61,Regular,1.33,24.62,1,11
IND_00188,Kolkata,22,4,Heavy_Rain,Holi,6.3,8.08,28,Budget,2.09,106.39,1,20
IND_00189,Pune,18,6,Dusty,Holi,2.3,19.89,10,Budget,1.97,90.12,1,24
IND_00190,Bangalore,16,2,Hot,Regular,1.3,26.03,25,Regular,1.41,47.71,1,18
IND_00191,Delhi,12,1,Dusty,Eid,2.4,17.6,30,Budget,1.89,79.83,1,19
IND_00192,Hyderabad,6,5,Heavy_Rain,Diwali,19.4,13.66,73,Regular,1.79,474.36,1,11
IND_00193,Hyderabad,22,3,Dusty,Holi,2.9,23.4,46,Regular,1.51,102.47,1,17
IND_00194,Hyderabad,23,1,Dusty,Diwali,14.5,9.75,48,Budget,1.71,241.75,1,15
IND_00195,Delhi,22,1,Dusty,Holi,1.0,16.07,44,Regular,1.55,24.91,1,17
IND_00196,Kolkata,15,7,Dusty,Diwali,3.5,19.96,25,Budget,2.68,187.22,0,25
IND_00197,Chennai,21,6,Heavy_Rain,Holi,6.4,21.54,29,Regular,1.82,250.9,1,19
IND_00198,Mumbai,8,5,Dusty,Diwali,2.4,16.71,40,Regular,2.04,81.81,1,17
IND_00199,Pune,8,7,Heavy_Rain,Holi,1.6,17.79,56,Premium,1.57,44.69,1,15
IND_00200,Kolkata,12,4,Heavy_Rain,Diwali,2.1,16.08,31,Budget,2.4,81.04,1,22
IND_00201,Delhi,12,3,Heavy_Rain,Diwali,4.8,23.6,35,Budget,2.28,258.28,1,21
IND_00202,Bangalore,18,2,Dusty,Holi,1.5,17.28,10,Budget,1.63,42.25,1,23
IND_00203,Mumbai,15,7,Dusty,Diwali,30.1,38.68,27,Budget,1.73,2014.18,1,20
IND_00204,Chennai,5,4,Light_Rain,Regular,2.7,12.28,99,Budget,1.37,45.42,1,8
IND_00205,Kolkata,16,2,Dusty,Diwali,1.9,11.65,16,Regular,1.75,38.74,1,20
IND_00206,Pune,6,3,Hot,Regular,1.4,21.23,86,Regular,1.35,40.12,1,9
IND_00207,Pune,17,1,Heavy_Rain,Holi,1.9,18.66,10,Budget,1.59,56.37,0,21
IND_00208,Ahmedabad,10,2,Heavy_Rain,Diwali,1.0,9.5,33,Budget,1.8,17.1,1,17
IND_00209,Mumbai,21,5,Heavy_Rain,Eid,3.6,34.86,25,Budget,2.19,274.84,0,21
IND_00210,Bangalore,13,2,Heavy_Rain,Holi,1.5,24.42,23,Budget,1.92,70.33,1,20
IND_00211,Chennai,13,7,Dusty,Diwali,8.9,20.79,25,Regular,2.35,434.82,1,22
IND_00212,Ahmedabad,8,6,Heavy_Rain,Holi,1.6,18.75,56,Regular,1.59,47.7,1,15
IND_00213,Ahmedabad,13,3,Dusty,Eid,1.6,17.0,21,Regular,2.54,69.09,1,23
IND_00214,Bangalore,22,6,Heavy_Rain,Eid,2.4,27.46,37,Budget,2.02,133.13,1,19
IND_00215,Delhi,9,6,Heavy_Rain,Holi,2.3,28.36,39,Budget,1.59,103.71,0,16
IND_00216,Bangalore,10,3,Heavy_Rain,Diwali,2.8,26.62,41,Regular,2.51,187.09,1,21
IND_00217,Pune,21,4,Dusty,Diwali,2.3,10.01,22,Budget,1.84,42.36,0,19
IND_00218,Mumbai,18,2,Heavy_Rain,Eid,8.0,24.56,10,Regular,1.95,383.14,1,24
IND_00219,Chennai,11,4,Dusty,Eid,1.0,23.6,36,Regular,2.01,47.44,1,20
IND_00220,Mumbai,18,1,Light_Rain,Regular,1.0,42.18,10,Budget,1.23,51.88,1,21
IND_00221,Pune,7,3,Dusty,Diwali,9.7,11.11,55,Budget,2.21,238.17,0,16
IND_00222,Ahmedabad,20,1,Dusty,Eid,8.5,7.82,39,Regular,1.87,124.3,1,19
IND_00223,Hyderabad,15,3,Dusty,Holi,1.0,20.22,21,Budget,1.53,30.94,0,19
IND_00224,Pune,18,4,Light_Rain,Regular,1.0,12.56,10,Regular,1.21,15.2,1,21
IND_00225,Mumbai,14,4,Dusty,Diwali,3.1,26.71,26,Regular,2.19,181.33,1,22
IND_00226,Mumbai,22,3,Heavy_Rain,Holi,4.7,25.71,46,Budget,1.85,223.55,0,18
IND_00227,Kolkata,18,6,Hot,Regular,1.6,9.0,10,Regular,1.46,21.02,1,22
IND_00228,Ahmedabad,22,3,Dusty,Eid,3.4,19.75,30,Budget,1.58,106.1,0,17
IND_00229,Ahmedabad,12,3,Heavy_Rain,Diwali,4.3,7.48,22,Regular,2.29,73.66,1,21
IND_00230,Chennai,19,5,Dusty,Holi,2.9,16.76,33,Budget,1.83,88.95,0,20
IND_00231,Kolkata,21,4,Heavy_Rain,Eid,2.2,19.93,23,Budget,1.61,70.59,1,18
IND_00232,Pune,1,5,Dusty,Holi,3.2,25.9,72,Budget,2.23,184.82,0,14
IND_00233,Ahmedabad,11,5,Dusty,Diwali,10.2,11.78,23,Regular,1.79,215.08,1,19
IND_00234,Bangalore,20,4,Dusty,Diwali,4.3,20.91,28,Budget,1.79,160.94,0,19
IND_00235,Pune,15,4,Dusty,Holi,5.0,12.17,21,Budget,2.15,130.83,1,22
IND_00236,Pune,19,5,Light_Rain,Regular,1.5,14.22,33,Budget,1.48,31.57,1,18
IND_00237,Bangalore,16,6,Heavy_Rain,Eid,1.5,29.06,28,Regular,1.89,82.39,0,20
IND_00238,Delhi,19,1,Hot,Regular,2.4,17.43,31,Budget,1.43,59.82,0,18
IND_00239,Bangalore,23,3,Dusty,Holi,5.2,23.58,46,Budget,1.73,212.13,1,15
IND_00240,Kolkata,17,2,Dusty,Diwali,1.0,12.97,10,Premium,1.56,20.23,1,21
IND_00241,Ahmedabad,15,3,Heavy_Rain,Holi,1.9,13.73,24,Regular,2.11,55.04,1,22
IND_00242,Chennai,13,3,Dusty,Diwali,16.2,19.8,18,Budget,1.86,596.61,0,20
IND_00243,Ahmedabad,11,7,Dusty,Eid,1.3,19.96,23,Budget,1.72,44.63,1,18
IND_00244,Chennai,17,7,Light_Rain,Regular,2.6,23.15,21,Regular,1.5,90.28,1,20
IND_00245,Kolkata,17,6,Light_Rain,Regular,1.0,14.63,10,Premium,1.37,20.04,1,20
IND_00246,Ahmedabad,13,1,Dusty,Holi,3.7,7.34,33,Regular,1.95,52.96,1,20
IND_00247,Delhi,9,4,Dusty,Eid,1.0,13.51,50,Regular,1.78,24.05,1,17
IND_00248,Pune,19,5,Heavy_Rain,Diwali,1.9,24.64,33,Premium,2.23,104.4,1,22
IND_00249,Ahmedabad,12,6,Dusty,Diwali,7.7,15.84,38,Premium,1.85,225.64,1,19
IND_00250,Bangalore,15,1,Heavy_Rain,Holi,30.6,25.36,11,Regular,1.71,1326.99,1,20
IND_00251,Bangalore,19,4,Heavy_Rain,Holi,1.8,16.08,20,Premium,1.91,55.28,1,20
IND_00252,Chennai,14,6,Dusty,Diwali,3.7,22.38,32,Regular,1.96,162.3,1,20
IND_00253,Chennai,13,7,Heavy_Rain,Eid,1.0,18.45,34,Regular,3.5,64.58,1,28
IND_00254,Bangalore,10,7,Dusty,Eid,29.2,13.42,30,Budget,1.78,697.52,0,17
IND_00255,Chennai,18,5,Hot,Regular,1.0,19.07,10,Regular,1.25,23.84,1,21
IND_00256,Chennai,20,6,Dusty,Holi,3.0,18.91,31,Budget,2.42,137.29,0,22
IND_00257,Delhi,18,2,Heavy_Rain,Holi,1.6,27.84,10,Budget,2.02,89.98,0,25
IND_00258,Bangalore,21,5,Dusty,Eid,3.2,16.25,31,Premium,1.53,79.56,1,18
IND_00259,Bangalore,0,6,Heavy_Rain,Holi,3.5,25.21,61,Budget,2.01,177.35,0,14
IND_00260,Hyderabad,18,4,Heavy_Rain,Holi,1.8,10.39,10,Premium,2.05,38.34,1,25
IND_00261,Bangalore,9,1,Dusty,Diwali,2.9,26.27,49,Regular,1.94,147.8,1,17
IND_00262,Ahmedabad,0,1,Dusty,Holi,4.6,13.48,70,Budget,2.02,125.26,1,14
