hour,day_of_week,distance_km,base_fare,driver_supply,wait_time_mins,ride_completed,is_morning_peak,is_evening_peak,is_late_night,is_weekend,is_weekend_evening,hour_sin,hour_cos,dow_sin,dow_cos,weather_severity,is_rainy,is_heavy_rain,rain_x_peak,is_festival,festival_score,price_sensitivity,city_enc,weather_enc,special_event_enc,customer_segment_enc,surge_multiplier
14,6,3.0,12.57,31,22,1,0,0,0,1,0,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,3,0,0,0,1,2,3,1,1,1,0,2.32
15,4,30.1,27.32,30,20,0,0,0,0,0,0,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,5,1,1,0,1,2,3,7,2,1,0,1.73
16,1,6.6,8.57,32,22,1,0,0,0,0,0,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,5,1,1,0,1,3,3,0,2,0,0,2.21
23,5,1.2,8.12,45,14,1,0,0,1,0,0,-0.25881904510252157,0.9659258262890681,-0.9749279121818236,-0.2225209339563146,4,1,0,0,0,0,3,4,5,3,0,1.43
22,6,1.6,23.83,43,21,0,0,0,1,1,1,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,3,0,0,0,1,2,3,3,1,1,0,2.44
16,2,4.8,10.16,17,21,1,0,0,0,0,0,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,3,0,0,0,1,2,3,0,1,2,0,1.97
18,3,1.4,13.35,10,26,1,0,1,0,0,0,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,3,0,0,0,1,2,3,5,1,1,0,2.27
17,2,3.5,13.39,10,22,1,0,0,0,0,0,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,3,0,0,0,1,3,3,3,1,0,0,1.92
15,4,1.3,18.44,12,21,0,0,0,0,0,0,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,3,0,0,0,1,2,3,1,1,2,0,1.87
9,7,2.7,13.16,41,15,1,1,0,0,1,0,0.7071067811865476,-0.7071067811865475,-2.4492935982947064e-16,1.0,4,1,0,1,0,0,1,3,5,3,1,1.35
10,1,5.4,13.26,30,20,1,1,0,0,0,0,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,3,0,0,0,1,3,3,0,1,0,0,2.41
14,2,1.1,23.75,32,18,1,0,0,0,0,0,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,3,0,0,0,1,2,3,2,1,2,0,1.5
9,4,1.0,9.01,52,16,1,1,0,0,0,0,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,3,0,0,0,1,3,1,0,1,0,1,1.57
11,2,3.1,37.44,37,20,1,0,0,0,0,0,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.22252093395631434,5,1,1,0,1,3,2,6,2,0,2,2.09
14,5,4.7,11.14,17,21,1,0,0,0,0,0,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,5,1,1,0,1,3,3,1,2,0,0,2.08
19,5,1.0,14.86,14,18,1,0,1,0,0,0,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.2225209339563146,4,1,0,1,0,0,2,4,5,3,2,1.48
23,6,2.8,21.49,54,15,0,0,0,1,1,0,-0.25881904510252157,0.9659258262890681,-0.7818314824680299,0.6234898018587334,3,0,0,0,1,2,3,7,1,2,0,1.74
9,6,1.0,11.49,36,14,0,1,0,0,1,0,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334,2,0,0,0,0,0,3,7,4,3,0,1.19
18,4,2.3,13.68,10,24,1,0,1,0,0,0,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,5,1,1,1,1,2,3,3,2,1,0,1.95
1,7,23.8,14.28,76,14,1,0,0,1,1,0,0.25881904510252074,0.9659258262890683,-2.4492935982947064e-16,1.0,5,1,1,0,1,2,2,4,2,2,2,2.15
23,4,3.2,35.04,48,16,0,0,0,1,0,0,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,3,0,0,0,1,2,3,6,1,1,0,2.0
20,2,30.1,29.08,25,19,1,0,1,0,0,0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,5,1,1,1,1,2,3,3,2,2,0,1.73
2,5,4.4,19.69,76,10,0,0,0,0,0,0,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,3,0,0,0,1,2,3,4,1,1,0,1.67
10,2,1.9,24.76,34,15,1,1,0,0,0,0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,4,1,0,1,0,0,3,7,5,3,0,1.23
16,4,13.7,10.75,31,21,0,0,0,0,0,0,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,3,0,0,0,1,2,2,2,1,1,2,2.03
12,3,2.6,33.74,32,20,1,0,0,0,0,0,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,5,1,1,0,1,2,3,3,2,1,0,2.04
18,5,1.0,18.6,10,21,1,0,1,0,0,0,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,4,1,0,1,0,0,3,1,5,3,0,1.3
21,3,2.2,19.6,33,19,1,0,1,0,0,0,-0.7071067811865477,0.7071067811865474,0.43388373911755823,-0.900968867902419,5,1,1,1,1,2,2,4,2,2,2,1.75
13,4,1.4,28.52,21,17,1,0,0,0,0,0,-0.2588190451025208,-0.9659258262890683,-0.433883739117558,-0.9009688679024191,4,1,0,0,0,0,1,1,5,3,1,1.37
14,5,2.8,20.38,22,24,1,0,0,0,0,0,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,3,0,0,0,1,2,2,6,1,2,2,2.64
13,5,1.8,20.8,30,18,0,0,0,0,0,0,-0.2588190451025208,-0.9659258262890683,-0.9749279121818236,-0.2225209339563146,5,1,1,0,1,2,3,3,2,2,0,1.53
1,6,1.0,11.79,75,9,1,0,0,1,1,0,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,1,0,0,0,0,0,3,4,0,3,0,1.18
6,1,2.6,13.97,87,10,1,0,0,0,0,0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,2,0,0,0,0,0,2,2,3,3,2,1.48
12,5,3.6,18.46,29,21,0,0,0,0,0,0,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,3,0,0,0,1,3,2,6,1,0,2,2.17
21,3,3.5,15.57,36,19,1,0,1,0,0,0,-0.7071067811865477,0.7071067811865474,0.43388373911755823,-0.900968867902419,3,0,0,0,1,2,2,7,1,2,2,1.83
12,4,7.2,12.33,38,22,1,0,0,0,0,0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,3,0,0,0,1,3,2,4,1,0,2,2.52
20,3,2.8,14.19,38,19,1,0,1,0,0,0,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,5,1,1,1,1,2,1,4,2,1,1,1.88
19,3,2.3,28.55,26,19,0,0,1,0,0,0,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,3,0,0,0,1,2,3,3,1,1,0,1.6
9,2,1.9,17.43,46,17,1,1,0,0,0,0,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434,5,1,1,1,1,2,2,2,2,2,2,1.85
11,1,6.5,22.31,21,19,1,0,0,0,0,0,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336,3,0,0,0,1,2,2,1,1,2,2,1.85
11,7,2.7,15.31,27,20,1,0,0,0,1,0,0.258819045102521,-0.9659258262890682,-2.4492935982947064e-16,1.0,3,0,0,0,1,2,3,4,1,2,0,2.01
22,3,4.8,23.18,45,18,1,0,0,1,0,0,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,3,0,0,0,1,2,2,1,1,1,2,1.88
21,3,3.7,19.44,21,18,0,0,1,0,0,0,-0.7071067811865477,0.7071067811865474,0.43388373911755823,-0.900968867902419,5,1,1,1,1,3,3,4,2,0,0,1.68
7,4,3.4,14.95,74,12,1,0,0,0,0,0,0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,4,1,0,0,0,0,3,0,5,3,0,1.49
9,3,1.0,18.39,34,19,1,1,0,0,0,0,0.7071067811865476,-0.7071067811865475,0.43388373911755823,-0.900968867902419,5,1,1,1,1,3,2,7,2,0,2,2.21
19,5,1.8,29.9,29,19,1,0,1,0,0,0,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.2225209339563146,5,1,1,1,1,3,2,3,2,0,2,1.65
17,7,1.8,23.6,15,22,1,0,0,0,1,0,-0.9659258262890683,-0.25881904510252063,-2.4492935982947064e-16,1.0,5,1,1,0,1,2,3,4,2,2,0,1.93
18,7,1.1,21.25,10,22,1,0,1,0,1,0,-1.0,-1.8369701987210297e-16,-2.4492935982947064e-16,1.0,2,0,0,0,0,0,2,5,3,3,2,1.48
20,4,2.3,18.66,26,19,1,0,1,0,0,0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,3,0,0,0,1,2,3,0,1,2,0,1.69
16,4,2.9,21.02,28,20,0,0,0,0,0,0,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,3,0,0,0,1,2,3,2,1,1,0,1.83
17,3,4.1,11.99,10,26,1,0,0,0,0,0,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,3,0,0,0,1,2,1,2,1,2,1,2.7
12,1,1.9,14.51,34,18,0,0,0,0,0,0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,5,1,1,0,1,2,3,4,2,1,0,1.61
14,3,2.1,12.41,33,20,1,0,0,0,0,0,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,5,1,1,0,1,2,3,0,2,2,0,1.91
15,4,2.3,40.7,21,21,0,0,0,0,0,0,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,3,0,0,0,1,2,3,6,1,2,0,1.97
18,5,1.0,25.22,10,21,1,0,1,0,0,0,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,2,0,0,0,0,0,2,7,3,3,2,1.24
16,1,1.0,16.3,14,18,1,0,0,0,0,0,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,2,0,0,0,0,0,3,4,3,3,0,1.36
20,4,15.4,22.76,36,19,0,0,1,0,0,0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,3,0,0,0,1,3,1,7,1,0,1,1.84
17,1,2.0,20.25,10,22,1,0,0,0,0,0,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,5,1,1,0,1,3,2,7,2,0,2,1.81
7,2,2.3,11.01,64,16,0,0,0,0,0,0,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,3,0,0,0,1,2,3,1,1,2,0,2.18
18,1,3.5,14.29,10,25,0,0,1,0,0,0,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,3,0,0,0,1,2,2,7,1,2,2,2.04
18,7,32.4,45.0,10,23,0,0,1,0,1,0,-1.0,-1.8369701987210297e-16,-2.4492935982947064e-16,1.0,3,0,0,0,1,3,2,6,1,0,2,1.62
9,3,28.4,43.49,41,17,1,1,0,0,0,0,0.7071067811865476,-0.7071067811865475,0.43388373911755823,-0.900968867902419,5,1,1,1,1,3,2,6,2,0,2,1.83
11,7,4.7,24.97,32,19,1,0,0,0,1,0,0.258819045102521,-0.9659258262890682,-2.4492935982947064e-16,1.0,5,1,1,0,1,2,2,3,2,2,2,1.85
9,6,1.6,29.89,37,14,1,1,0,0,1,0,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334,4,1,0,1,0,0,1,3,5,3,1,1.31
9,1,4.9,17.79,40,21,1,1,0,0,0,0,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336,3,0,0,0,1,2,1,2,1,2,1,2.59
22,1,3.2,9.73,29,18,1,0,0,1,0,0,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,3,0,0,0,1,2,2,4,1,1,2,1.83
23,4,4.3,25.42,60,15,1,0,0,1,0,0,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,3,0,0,0,1,2,3,6,1,1,0,1.82
9,3,7.7,40.49,45,19,1,1,0,0,0,0,0.7071067811865476,-0.7071067811865475,0.43388373911755823,-0.900968867902419,3,0,0,0,1,3,3,6,1,0,0,2.19
13,7,1.2,16.2,36,19,1,0,0,0,1,0,-0.2588190451025208,-0.9659258262890683,-2.4492935982947064e-16,1.0,3,0,0,0,1,3,2,0,1,0,2,1.62
15,3,2.1,13.04,12,24,1,0,0,0,0,0,-0.7071067811865471,-0.7071067811865479,0.43388373911755823,-0.900968867902419,3,0,0,0,1,2,1,0,1,2,1,2.42
11,6,1.0,10.17,33,17,1,0,0,0,1,0,0.258819045102521,-0.9659258262890682,-0.7818314824680299,0.6234898018587334,3,0,0,0,1,2,2,0,1,1,2,1.53
15,1,1.0,18.06,21,17,1,0,0,0,0,0,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,1,0,0,0,0,0,3,0,0,3,0,1.1
19,2,2.0,11.19,19,19,0,0,1,0,0,0,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,3,0,0,0,1,2,3,5,1,1,0,1.69
19,2,1.1,18.28,33,18,1,0,1,0,0,0,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,4,1,0,1,0,0,2,7,5,3,2,1.48
9,1,5.8,17.31,41,18,0,1,0,0,0,0,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336,5,1,1,1,1,2,3,0,2,2,0,2.14
18,4,2.1,14.1,10,25,1,0,1,0,0,0,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,3,0,0,0,1,2,1,5,1,2,1,2.18
13,3,5.1,10.52,22,23,0,0,0,0,0,0,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,-0.900968867902419,3,0,0,0,1,3,3,0,1,0,0,2.42
2,1,3.1,13.83,91,9,1,0,0,0,0,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,3,0,0,0,1,2,2,1,1,2,2,1.57
20,1,1.5,31.15,24,17,1,0,1,0,0,0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,2,0,0,0,0,0,3,3,3,3,0,1.34
18,3,5.8,15.49,10,27,1,0,1,0,0,0,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,5,1,1,1,1,2,3,1,2,1,0,2.5
17,6,4.9,8.33,16,26,0,0,0,0,1,0,-0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,5,1,1,0,1,2,3,0,2,1,0,2.64
13,4,1.8,29.31,18,19,0,0,0,0,0,0,-0.2588190451025208,-0.9659258262890683,-0.433883739117558,-0.9009688679024191,3,0,0,0,1,2,3,1,1,2,0,1.65
18,6,2.3,25.27,10,24,1,0,1,0,1,0,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,5,1,1,1,1,3,3,3,2,0,0,1.95
23,7,13.2,34.86,63,17,1,0,0,1,1,0,-0.25881904510252157,0.9659258262890681,-2.4492935982947064e-16,1.0,5,1,1,0,1,2,2,3,2,1,2,2.03
18,1,2.7,21.19,10,25,1,0,1,0,0,0,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,3,0,0,0,1,2,1,4,1,2,1,2.12
20,4,3.9,14.8,22,18,1,0,1,0,0,0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,5,1,1,1,1,2,1,7,2,1,1,1.63
12,2,2.9,18.63,28,20,0,0,0,0,0,0,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,3,0,0,0,1,2,3,4,1,1,0,2.06
18,3,4.9,15.6,10,25,1,0,1,0,0,0,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,3,0,0,0,1,2,2,3,1,2,2,2.02
13,4,1.4,12.9,30,18,1,0,0,0,0,0,-0.2588190451025208,-0.9659258262890683,-0.433883739117558,-0.9009688679024191,2,0,0,0,0,0,2,4,3,3,2,1.5
19,3,5.9,23.71,20,23,1,0,1,0,0,0,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,5,1,1,1,1,2,3,4,2,2,0,2.39
7,1,1.0,22.05,63,12,1,0,0,0,0,0,0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,4,1,0,0,0,0,3,2,5,3,0,1.47
7,6,2.8,15.47,66,13,1,0,0,0,1,0,0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,3,0,0,0,1,2,3,2,1,1,0,1.67
19,3,4.1,12.69,32,21,1,0,1,0,0,0,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,5,1,1,1,1,2,2,0,2,2,2,2.09
19,6,1.0,17.27,31,19,0,0,1,0,1,1,-0.9659258262890684,0.2588190451025203,-0.7818314824680299,0.6234898018587334,5,1,1,1,1,2,2,3,2,1,2,1.56
23,5,6.7,19.41,62,16,0,0,0,1,0,0,-0.25881904510252157,0.9659258262890681,-0.9749279121818236,-0.2225209339563146,3,0,0,0,1,2,3,1,1,2,0,1.86
13,2,1.4,19.6,26,21,1,0,0,0,0,0,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434,3,0,0,0,1,2,3,0,1,2,0,2.1
16,1,1.7,16.6,26,19,1,0,0,0,0,0,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,3,0,0,0,1,2,2,1,1,2,2,1.67
6,5,3.9,28.64,82,12,1,0,0,0,0,0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,3,0,0,0,1,2,3,6,1,2,0,1.91
21,4,1.0,34.73,26,17,1,0,1,0,0,0,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,2,0,0,0,0,0,3,6,3,3,0,1.47
18,4,1.4,15.13,10,24,1,0,1,0,0,0,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,5,1,1,1,1,3,3,0,2,0,0,1.96
13,3,1.1,18.45,36,23,1,0,0,0,0,0,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,-0.900968867902419,3,0,0,0,1,3,3,0,1,0,0,2.43
13,1,1.3,20.07,29,19,0,0,0,0,0,0,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336,3,0,0,0,1,2,3,4,1,1,0,1.72
10,7,2.8,22.61,45,17,1,1,0,0,1,0,0.49999999999999994,-0.8660254037844387,-2.4492935982947064e-16,1.0,5,1,1,1,1,2,2,3,2,1,2,1.75
8,3,9.2,16.65,53,17,1,1,0,0,0,0,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,3,0,0,0,1,2,2,2,1,2,2,2.0
16,5,1.0,17.67,27,28,0,0,0,0,0,0,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,5,1,1,0,1,3,3,1,2,0,0,3.5
16,7,3.0,21.95,32,22,1,0,0,0,1,0,-0.8660254037844385,-0.5000000000000004,-2.4492935982947064e-16,1.0,3,0,0,0,1,2,3,2,1,1,0,2.22
7,4,3.5,18.25,64,15,1,0,0,0,0,0,0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,3,0,0,0,1,2,3,0,1,1,0,2.02
20,3,7.4,17.65,26,20,1,0,1,0,0,0,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,3,0,0,0,1,3,1,7,1,0,1,2.02
11,2,3.8,22.55,36,26,1,0,0,0,0,0,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.22252093395631434,3,0,0,0,1,3,3,4,1,0,0,3.2
21,4,36.0,16.34,24,18,1,0,1,0,0,0,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,5,1,1,1,1,2,1,7,2,2,1,1.71
11,6,1.0,20.05,35,18,0,0,0,0,1,0,0.258819045102521,-0.9659258262890682,-0.7818314824680299,0.6234898018587334,3,0,0,0,1,3,2,5,1,0,2,1.71
15,4,1.6,18.2,18,21,0,0,0,0,0,0,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,5,1,1,0,1,3,3,1,2,0,0,1.86
12,5,3.0,21.35,33,20,1,0,0,0,0,0,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,3,0,0,0,1,2,1,7,1,1,1,2.0
5,1,24.4,18.34,100,9,1,0,0,0,0,0,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336,5,1,1,0,1,2,3,0,2,1,0,1.69
18,3,17.9,24.96,10,23,1,0,1,0,0,0,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,5,1,1,1,1,2,1,2,2,2,1,1.75
22,7,14.5,22.2,27,19,0,0,0,1,1,1,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,3,0,0,0,1,3,3,3,1,0,0,1.94
12,3,1.3,13.46,26,18,0,0,0,0,0,0,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,5,1,1,0,1,2,3,5,2,1,0,1.72
18,5,5.3,26.02,10,24,1,0,1,0,0,0,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,3,0,0,0,1,2,2,3,1,1,2,1.86
18,3,1.0,14.64,10,22,1,0,1,0,0,0,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,2,0,0,0,0,0,3,1,3,3,0,1.42
9,3,3.3,18.72,45,18,1,1,0,0,0,0,0.7071067811865476,-0.7071067811865475,0.43388373911755823,-0.900968867902419,5,1,1,1,1,3,3,0,2,0,0,2.08
19,1,1.5,18.86,22,19,0,0,1,0,0,0,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,3,0,0,0,1,2,3,2,1,1,0,1.63
20,2,2.8,25.21,30,20,1,0,1,0,0,0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,5,1,1,1,1,3,3,7,2,0,0,2.07
17,5,15.6,8.37,10,24,1,0,0,0,0,0,-0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,3,0,0,0,1,2,3,2,1,2,0,2.2
11,6,4.1,17.83,32,21,1,0,0,0,1,0,0.258819045102521,-0.9659258262890682,-0.7818314824680299,0.6234898018587334,3,0,0,0,1,3,2,0,1,0,2,2.19
22,3,9.6,18.56,46,20,1,0,0,1,0,0,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,5,1,1,0,1,2,3,4,2,1,0,2.18
12,1,1.4,21.41,25,20,0,0,0,0,0,0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,5,1,1,0,1,2,3,2,2,1,0,2.08
9,4,7.4,13.55,51,16,1,1,0,0,0,0,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,3,0,0,0,1,3,3,2,1,0,0,1.68
